Date,User,Message
2017-11-14 02:04:35,"Sue","Sue님이 들어왔습니다."
2017-11-14 02:04:41,"Sue","2빠!!!!!!!"
2017-11-14 02:04:48,"Sue","코드치니까 들어와지네여"
2017-11-14 02:05:51,"박성옥_Delly","박성옥_Delly님이 들어왔습니다."
2017-11-14 02:06:25,"재남","음"
2017-11-14 02:06:37,"박성옥_Delly","오 왕관이다"
2017-11-14 02:06:39,"재남","테스트중이에요 일단은"
2017-11-14 02:06:48,"Sue","ㅋㅋㅋㅋ"
2017-11-14 02:06:52,"Sue","박성옥님 3빠"
2017-11-14 02:06:55,"Sue","느리네여"
2017-11-14 02:07:01,"Sue","재남님 벨라님도고고고"
2017-11-14 02:07:02,"박성옥_Delly","ㅜㅜ"
2017-11-14 02:07:12,"Sue","코드가있어서 아무나못들어오니까좋네여"
2017-11-14 02:07:18,"박성옥_Delly","(이모티콘) "
2017-11-14 02:07:28,"재남","제가 일일이 링크랑 비번 전달하는 식으로 해얄거 같음 이방법은"
2017-11-14 02:07:53,"재남","일단 다 들어오고 나면 비번 바꿔버리는걸로 ㅋ"
2017-11-14 02:07:56,"박성옥_Delly","오"
2017-11-14 02:08:01,"Sue","네넹 고생하시넴ㅜㅜㅜ"
2017-11-14 02:08:39,"박성옥_Delly","훗"
2017-11-14 02:08:44,"박성옥_Delly","이름 두개다 써있다"
2017-11-14 02:12:41,"재남","- 이방의 존재는 절대 비밀입니다.
- 11월19일 자정에 비번 아무도 모르게 바꾸겠습니다."
2017-11-14 02:13:06,"Sue","ㅋㅋㅋㅋ"
2017-11-14 02:13:08,"박성옥_Delly","(이모티콘) "
2017-11-14 02:13:14,"Sue","(이모티콘) "
2017-11-14 02:14:51,"재남","다른분들 초대는 내일 하겠슴 전 자러 갑니다요ㅡ"
2017-11-14 02:15:05,"박성옥_Delly","좋은밤 되시길"
2017-11-14 02:15:28,"Sue","네 잘자여"
2017-11-14 02:15:30,"Sue","(이모티콘) "
2017-11-14 07:22:43,"수컁","수컁님이 들어왔습니다."
2017-11-14 07:23:04,"수컁","고단다이이인?????"
2017-11-14 08:27:31,"섭쓰","섭쓰님이 들어왔습니다."
2017-11-14 08:54:46,"ruru","ruru님이 들어왔습니다."
2017-11-14 09:17:24,"호준","호준님이 들어왔습니다."
2017-11-14 09:17:53,"호준","시크릿 라군이라니.. 작명센스에 10점드립니다요"
2017-11-14 09:21:39,"이다연","이다연님이 들어왔습니다."
2017-11-14 09:23:13,"승구","승구님이 들어왔습니다."
2017-11-14 09:23:45,"이규진","이규진님이 들어왔습니다."
2017-11-14 09:25:07,"이명신(Michele)","이명신(Michele)님이 들어왔습니다."
2017-11-14 09:25:42,"해리","해리님이 들어왔습니다."
2017-11-14 09:25:50,"해리","하이~^^"
2017-11-14 09:26:42,"pepe 기현","pepe 기현님이 들어왔습니다."
2017-11-14 09:26:55,"해리","공지 필독 ㅋ"
2017-11-14 09:27:20,"이혜원(Hyewon)","이혜원(Hyewon)님이 들어왔습니다."
2017-11-14 09:27:31,"이혜원(Hyewon)","안녕하세요~~"
2017-11-14 09:27:58,"해리","(이모티콘) "
2017-11-14 09:28:11,"이혜원(Hyewon)","(이모티콘) "
2017-11-14 09:28:14,"박성옥_Delly","재남님 아침부터 수고 많으십니다"
2017-11-14 09:28:25,"ss","ss님이 들어왔습니다."
2017-11-14 09:28:41,"이명신(Michele)","비번 치는데 힘들었다 휴~ 영어야 영어 ㅋㅋ"
2017-11-14 09:28:46,"해리","ㅋㅋ"
2017-11-14 09:28:50,"해리","아 누나 쫌 ㅋㅋ"
2017-11-14 09:29:25,"호준","다들 반갑습니다~"
2017-11-14 09:29:28,"이명신(Michele)","아 77해리구나?"
2017-11-14 09:29:37,"해리","예압~ㅎ"
2017-11-14 09:29:40,"이명신(Michele)","난 루루님인 줄 ㅋㅋ"
2017-11-14 09:29:47,"이명신(Michele)","안녕하세요옹"
2017-11-14 09:29:56,"박성옥_Delly","해리님 이제 대화명 바꿔요"
2017-11-14 09:29:58,"찌~!!","찌~!!님이 들어왔습니다."
2017-11-14 09:29:58,"박성옥_Delly","ㅋㅋㅋㅋㅋㅋㅋ"
2017-11-14 09:30:03,"ruru","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2017-11-14 09:30:07,"ruru","칠칠해리님 ㅋㅋㅋ"
2017-11-14 09:30:19,"찌~!!","굿모닝요~!!!"
2017-11-14 09:30:31,"재남","이방은 최소 40명 되기 전까진 침묵 구다사이 ㅋ"
2017-11-14 09:30:50,"이명신(Michele)","총 초대인원이 40ㅍ"
2017-11-14 09:30:51,"이명신(Michele)","?"
2017-11-14 09:30:56,"민과장","민과장님이 들어왔습니다."
2017-11-14 09:31:01,"이명신(Michele)","오키요"
2017-11-14 09:31:07,"수컁","침묵이어도 한마디만 할게요 해리님 빵꾸똥꾸로 닉네임 바꾸세요"
2017-11-14 09:31:16,"이명신(Michele)","(침묵의) 씨크릿라군"
2017-11-14 09:31:19,"이명신(Michele)","이라고 이름좀 ㅎ"
2017-11-14 09:31:50,"민과장","방이름이 절묘 ㅋㅋㅋㅋ"
